year,Species ,Habitat Type,S1,S2,S3,S4,S5,ch
2018,Impatiens,Meadow,1,1,1,1,0,11110
2018,Impatiens,Meadow,0,1,1,0,0,01100
2018,Griseocollis,Meadow,1,0,0,0,0,10000
2018,Bimaculatus,Meadow,1,0,0,0,0,10000
2018,Griseocollis,Meadow,1,0,0,0,0,10000
2018,Impatiens,Meadow,0,1,0,1,0,01010
2018,Impatiens,Meadow,1,1,1,0,0,11100
2018,Griseocollis,Meadow,1,0,1,0,0,10100
2018,Griseocollis,Meadow,1,0,0,0,0,10000
2018,Impatiens,Forest,0,1,0,0,0,01000
2018,Impatiens,Forest,1,1,0,0,0,11000
2018,Impatiens,Forest,0,0,0,1,0,00010
2018,Impatiens,Forest,0,1,0,0,0,01000
2018,Impatiens,Meadow,1,0,0,1,0,10010
2018,Griseocollis,Meadow,0,1,0,0,0,01000
2018,Vagans,Meadow,0,0,1,0,0,00100
2018,Impatiens,Forest,1,0,0,0,0,10000
2018,Impatiens,Forest,0,0,1,0,0,00100
2018,Impatiens,Forest,1,0,0,0,0,10000
2018,Impatiens,Forest,0,1,1,1,0,01110
2018,Impatiens,Meadow,0,0,1,0,0,00100
2018,Griseocollis,Meadow,0,0,0,1,0,00010
2018,Impatiens,Forest,1,1,1,1,0,11110
2019,Impatiens,Meadow,0,0,0,1,0,00010
2019,Impatiens,Meadow,1,0,1,1,0,10110
2019,Impatiens,Meadow,1,0,1,1,0,10110
2019,Griseocollis,Meadow,1,0,0,0,0,10000
2019,Griseocollis,Meadow,1,0,0,0,0,10000
2019,Griseocollis,Meadow,1,1,0,0,0,11000
2019,Griseocollis,Meadow,0,1,0,0,0,01000
2019,Griseocollis,Meadow,0,0,1,0,0,00100
2019,Impatiens,Forest,1,0,1,1,0,10110
2019,Impatiens,Meadow,0,1,1,0,0,01100
2019,Impatiens,Forest,0,0,1,0,0,00100
2019,Impatiens,Meadow,1,0,0,0,0,10000
2019,Impatiens,Meadow,0,0,0,1,0,00010
2019,Impatiens,Meadow,1,1,0,1,0,11010
2019,Impatiens,Meadow,0,1,1,1,0,01110
2019,Impatiens,Meadow,0,1,1,1,0,01110
2019,Impatiens,Meadow,1,0,1,1,0,10110
2019,Griseocollis,Meadow,1,0,0,0,0,10000
2019,Griseocollis,Meadow,1,1,0,0,0,11000
2019,Griseocollis,Forest,1,0,0,0,0,10000
2019,Perplexus,Hayfield,1,1,0,0,0,11000
2019,Impatiens,Meadow,0,1,0,1,0,01010
2019,Impatiens,Forest,0,1,0,0,0,01000
2019,Griseocollis,Meadow,0,1,0,0,0,01000
2019,Griseocollis,Meadow,0,1,1,0,0,01100
2019,Griseocollis,Meadow,1,1,0,0,0,11000
2019,Griseocollis,Meadow,0,0,0,1,0,00010
2019,Perplexus,Hayfield,0,0,0,1,0,00010
2020,Fervidus,Meadow,0,0,1,0,0,00100
2020,Impatiens,Forest,1,0,0,0,0,10000
2020,unknown,Hayfield,0,0,1,0,0,00100
2020,Impatiens,Meadow,1,0,0,0,0,10000
2020,Griseocollis,Meadow,1,0,0,0,0,10000
2020,Griseocollis,Meadow,1,1,1,0,0,11100
2020,Impatiens,Meadow,1,0,1,0,0,10100
2020,Impatiens,Meadow,1,0,0,0,0,10000
2020,Bimaculatus,Forest,1,0,1,0,0,10100
2021,Impatiens,Forest,0,0,1,0,0,00100
2021,Griseocollis,Meadow,1,0,0,0,0,10000
2021,Impatiens,Meadow,1,1,1,0,1,11101
2021,Griseocollis,Meadow,0,0,1,1,0,00110
2021,Griseocollis,Meadow,0,1,0,0,0,01000
2021,Griseocollis,Meadow,1,1,1,1,0,11110
2021,Impatiens,Meadow,1,1,1,1,0,11110
2021,Impatiens,Forest,0,1,0,0,1,01001
2021,Impatiens,Meadow,0,0,0,1,0,00010
2022,Impatiens,Meadow,0,0,1,1,1,00111
2022,Impatiens,Forest,0,0,0,1,0,00010
2023,Impatiens,Forest,0,1,1,0,0,01100
2023,Impatiens,Forest,0,0,1,0,0,00100
2023,Impatiens,Hayfield,0,0,1,0,0,00100
2023,Impatiens,Hayfield,0,1,1,1,1,01111
2023,Impatiens,Meadow,1,0,0,0,1,10001
2023,Griseocollis,Meadow,1,0,0,0,0,10000
2023,Impatiens,Meadow,1,1,0,1,1,11011
2023,Griseocollis,Meadow,0,1,0,1,0,01010
2023,Griseocollis,Meadow,0,1,0,0,0,01000
2023,Impatiens,Meadow,1,0,0,1,0,10010
2023,Impatiens,Meadow,1,0,0,0,1,10001
2023,Impatiens,Meadow,1,0,0,1,1,10011
2023,Impatiens,Meadow,0,0,1,0,0,00100
2023,Griseocollis,Meadow,0,1,0,0,0,01000
2023,Griseocollis,Meadow,1,0,1,1,0,10110
2023,Griseocollis,Meadow,0,0,1,0,0,00100
2023,Griseocollis,Meadow,1,0,1,0,0,10100
2023,Griseocollis,Meadow,1,0,0,0,0,10000
2023,Impatiens,Meadow,0,1,0,1,0,01010
2023,Griseocollis,Meadow,1,1,0,0,0,11000
2024,Griseocollis,Meadow,1,0,1,1,0,10110
2024,Impatiens,Forest,1,0,1,0,0,10100
2024,Griseocollis,Meadow,1,0,1,0,0,10100
2024,Impatiens,Meadow,1,0,0,0,0,10000
2024,Griseocollis,Meadow,1,0,1,0,0,10100
2024,Griseocollis,Meadow,0,1,0,0,0,01000
2024,Griseocollis,Meadow,0,1,1,0,0,01100
2024,Impatiens,Meadow,0,1,1,1,1,01111
2024,Griseocollis,Meadow,0,1,1,0,1,01101
2024,Griseocollis,Meadow,0,1,0,0,0,01000
2024,Griseocollis,Meadow,0,1,0,0,0,01000
2024,Griseocollis,Hayfield,0,1,0,0,0,01000
2024,Griseocollis,Hayfield,0,1,0,0,0,01000
2024,Griseocollis,Meadow,0,0,1,0,0,00100
2024,Griseocollis,Meadow,0,0,1,0,0,00100
2024,Griseocollis,Meadow,0,0,1,0,0,00100
2024,Impatiens,Forest,0,0,1,0,0,00100
2024,Impatiens,Meadow,0,0,1,0,1,00101
2024,Impatiens,Meadow,0,0,0,1,0,00010
2024,Impatiens,Meadow,0,0,0,1,0,00010
